Folder & Position (f#p#),Prints (#),Negatives (#),Other (# and describe),Faces (#),Annotation - Front,Annotation - Back,Description for Negative,Neg. Pos.,,,,,,,,,,,,,,,
f5p7,1,1,,3,"TL: ""Kane's House - N.Y. (1901-1909) - Prod. #281-29""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""AUG 1 '40 PM"" and clock timestamp showing 02:27",,,,,,,,,,,,,,,,,
f5p8,1,1,,3,"TL: ""2nd Floor - Xanadu - Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 18 '40 AM"" and clock timestamp showing 10:00",bed with luggage open on it book case vanity table ,,,,,,,,,,,,,,,,
f5p9,1,1,,3,"TL: ""Street Shots - Prod. #281-14""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BL: ""Ranch (Maybe) \n ?""; BR: ""SEP 24 '40 PM"" and clock timestamp showing 04:37",,,,,,,,,,,,,,,,,
f5p10,1,1,,3,"TL: ""2nd Floor Enquirer Bldg. - Prod. #281-15""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""SEP 3 '40 AM"" and clock timestamp showing 08:35",,,,,,,,,,,,,,,,,
f5p11,1,1,,3,"TL: ""Susan's 2nd Apt - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f5p12,1,1,,3,"TL: ""2nd Floor - Xanadu - Prod. #281-37""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 18 '40 AM"" and clock timestamp showing 10:00",,,,,,,,,,,,,,,,,
f5p13,1,1,,3,"TL: ""Susan's 2nd Apt. - Prod. #281-33""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""8-40""",,,,,,,,,,,,,,,,,
f6p1,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 22 '40 PM"" and clock timestamp showing 03:20",,,,,,,,,,,,,,,,,
f6p2,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; C: ""Art"" (handwritten and underlined); BR: ""OCT 22 '40 PM"" and clock timestamp showing 03:17",,,,,,,,,,,,,,,,,
f6p3,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:28",,,,,,,,,,,,,,,,,
f6p4,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 22 '40 PM"" and clock timestamp showing 03:17",,,,,,,,,,,,,,,,,
f6p5,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:27",,,,,,,,,,,,,,,,,
f6p6,1,1,,3,"TL: ""Xanadu Great Hall - Prod. #281-36""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""OCT 15 '40 AM"" and clock timestamp showing 10:27",,,,,,,,,,,,,,,,,
f6p7,1,1,,3,"TL: ""Foreground Set for Unloading Packages - Xanadu - Prod #281-67""; TR: ""Orson Welles""","TL: ""RADIO PICTURES PRODUCTION #281 \n Citizen Kane""; BR: ""NOV 19 '40 AM"" and clock timestamp showing 08:45",,,,,,,,,,,,,,,,,
